name,link,severity,package,version,fixedBy
CVE-2025-13836,https://avd.aquasec.com/nvd/cve-2025-13836,CRITICAL,libpython3.13-minimal,3.13.5-2,
CVE-2025-13836,https://avd.aquasec.com/nvd/cve-2025-13836,CRITICAL,libpython3.13-stdlib,3.13.5-2,
CVE-2025-15467,https://avd.aquasec.com/nvd/cve-2025-15467,CRITICAL,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-15467,https://avd.aquasec.com/nvd/cve-2025-15467,CRITICAL,openssl,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-15467,https://avd.aquasec.com/nvd/cve-2025-15467,CRITICAL,openssl-provider-legacy,3.5.4-1~deb13u1,3.5.4-1~deb13u2
CVE-2025-13836,https://avd.aquasec.com/nvd/cve-2025-13836,CRITICAL,python3.13,3.13.5-2,
CVE-2025-13836,https://avd.aquasec.com/nvd/cve-2025-13836,CRITICAL,python3.13-minimal,3.13.5-2,
CVE-2026-0861,https://avd.aquasec.com/nvd/cve-2026-0861,HIGH,libc-bin,2.41-12+deb13u1,
CVE-2026-0861,https://avd.aquasec.com/nvd/cve-2026-0861,HIGH,libc6,2.41-12+deb13u1,
CVE-2025-15366,https://avd.aquasec.com/nvd/cve-2025-15366,HIGH,libpython3.13-minimal,3.13.5-2,
CVE-2025-15367,https://avd.aquasec.com/nvd/cve-2025-15367,HIGH,libpython3.13-minimal,3.13.5-2,
CVE-2025-8194,https://avd.aquasec.com/nvd/cve-2025-8194,HIGH,libpython3.13-minimal,3.13.5-2,
CVE-2025-15366,https://avd.aquasec.com/nvd/cve-2025-15366,HIGH,libpython3.13-stdlib,3.13.5-2,
CVE-2025-15367,https://avd.aquasec.com/nvd/cve-2025-15367,HIGH,libpython3.13-stdlib,3.13.5-2,
CVE-2025-8194,https://avd.aquasec.com/nvd/cve-2025-8194,HIGH,libpython3.13-stdlib,3.13.5-2,
CVE-2025-69419,https://avd.aquasec.com/nvd/cve-2025-69419,HIGH,libssl3t64,3.5.4-1~deb13u1,3.5.4-1~deb13u2
